0.01,141,
0.014,142,
0.018,140,
0.022,141,
0.026,142,
0.03,141,
0.034,144,
0.038,142,
0.042,142,
0.046,142,
0.05,142,
0.054,142,
0.059,141,
0.063,142,
0.067,141,
0.071,143,
0.075,143,
0.079,145,
0.083,142,
0.087,142,
0.091,141,
0.096,136,
0.1,139,
0.104,141,
0.108,142,
0.112,145,
0.116,142,
0.12,140,
0.124,144,
0.129,143,
0.133,140,
0.137,141,
0.141,144,
0.145,141,
0.15,142,
0.154,143,
0.158,145,
0.162,143,
0.166,140,
0.17,140,
0.174,142,
0.178,139,
0.183,138,
0.187,144,
0.191,141,
0.195,146,
0.199,143,
0.203,142,
0.207,144,
0.211,142,
0.215,138,
0.22,142,
0.224,143,
0.228,143,
0.232,137,
0.236,143,
0.24,146,
0.244,146,
0.249,142,
0.253,145,
0.257,145,
0.261,143,
0.265,143,
0.269,142,
0.273,145,
0.277,148,
0.281,144,
0.286,144,
0.29,142,
0.294,146,
0.298,143,
0.302,145,
0.306,143,
0.31,143,
0.315,147,
0.319,142,
0.323,141,
0.327,142,
0.331,145,
0.335,142,
0.339,141,
0.343,144,
0.347,146,
0.352,145,
0.356,142,
0.36,145,
0.364,145,
0.368,147,
0.372,143,
0.376,143,
0.38,151,
0.384,146,
0.389,146,
0.393,145,
0.397,143,
0.402,144,
0.406,145,
0.411,142,
0.415,142,
0.419,143,
0.423,143,
0.428,144,
0.432,140,
0.436,144,
0.44,143,
0.444,143,
0.448,142,
0.452,143,
0.457,144,
0.461,141,
0.465,143,
0.47,144,
0.474,141,
0.478,140,
0.482,140,
0.487,141,
0.491,141,
0.495,143,
0.499,142,
0.503,143,
0.507,142,
0.512,141,
0.516,171,
0.521,140,
0.525,144,
0.529,142,
0.533,142,
0.537,142,
0.541,141,
0.545,142,
0.55,146,
0.554,144,
0.558,142,
0.564,147,
0.568,143,
0.572,143,
0.576,142,
0.58,142,
0.584,141,
0.589,146,
0.593,144,
0.597,143,
0.601,143,
0.605,148,
0.61,140,
0.614,142,
0.618,168,
0.622,142,
0.626,144,
0.63,143,
0.634,144,
0.639,143,
0.643,145,
0.647,142,
0.651,141,
0.655,145,
0.659,145,
0.663,144,
0.667,141,
0.672,146,
0.677,145,
0.681,146,
0.685,143,
0.689,146,
0.693,146,
0.698,145,
0.702,142,
0.706,139,
0.71,143,
0.714,141,
0.718,144,
0.722,141,
0.726,142,
0.73,140,
0.735,141,
0.739,141,
0.743,139,
0.748,144,
0.752,140,
0.756,139,
0.76,139,
0.765,142,
0.769,140,
0.773,141,
0.778,142,
0.783,135,
0.787,141,
0.791,144,
0.795,142,
0.799,142,
0.804,141,
0.808,142,
0.812,140,
0.816,141,
0.82,142,
0.824,146,
0.828,142,
0.833,138,
0.838,137,
0.842,137,
0.846,141,
0.85,141,
0.854,140,
0.858,139,
0.863,140,
0.867,140,
0.871,138,
0.875,132,
0.879,135,
0.883,139,
0.889,144,
0.893,139,
0.897,137,
0.901,136,
0.905,137,
0.909,133,
0.914,138,
0.918,134,
0.922,137,
0.926,122,
0.931,138,
0.935,138,
0.939,138,
0.943,140,
0.947,139,
0.952,138,
0.956,140,
0.96,145,
0.965,137,
0.969,134,
0.973,137,
0.978,139,
0.982,139,
0.986,142,
0.99,141,
0.994,141,
0.999,141,
1.003,143,
1.007,141,
1.011,140,
1.016,138,
1.02,141,
1.024,149,
1.028,167,
1.032,136,
1.037,142,
1.041,140,
1.045,143,
1.049,138,
1.053,140,
1.057,141,
1.061,141,
1.065,142,
1.069,137,
1.073,138,
1.078,144,
1.082,141,
1.086,140,
1.091,139,
1.095,142,
1.099,141,
1.104,141,
1.108,141,
1.112,138,
1.116,146,
1.121,143,
1.125,140,
1.129,142,
1.133,142,
1.137,136,
1.141,140,
1.146,140,
1.15,142,
1.154,144,
1.158,144,
1.162,143,
1.166,143,
1.171,143,
1.175,143,
1.179,144,
1.184,144,
1.188,142,
1.192,143,
1.197,147,
1.201,141,
1.205,144,
1.209,140,
1.213,142,
1.217,144,
1.223,139,
1.227,140,
1.231,142,
1.235,142,
1.239,139,
1.243,140,
1.247,139,
1.251,140,
1.255,140,
1.26,141,
1.264,140,
1.268,138,
1.272,139,
1.276,140,
1.28,139,
1.284,138,
1.289,140,
1.293,134,
1.297,140,
1.301,143,
1.305,141,
1.309,137,
1.313,138,
1.317,142,
1.321,137,
1.325,138,
1.33,139,
1.334,138,
1.338,137,
1.342,135,
1.346,140,
1.35,141,
1.354,141,
1.358,142,
1.362,140,
1.367,139,
1.371,143,
1.375,142,
1.379,144,
1.383,143,
1.387,145,
1.391,143,
1.395,143,
1.4,143,
1.404,142,
1.408,145,
1.412,142,
1.416,141,
1.42,141,
1.424,140,
1.428,142,
1.432,142,
1.437,142,
1.441,142,
1.445,141,
1.449,140,
1.453,136,
1.457,144,
1.461,139,
1.465,146,
1.469,142,
1.473,140,
1.478,142,
1.482,142,
1.486,141,
1.49,145,
1.494,141,
1.498,140,
1.502,141,
1.506,145,
1.51,146,
1.514,147,
1.519,142,
1.523,142,
1.527,144,
1.531,144,
1.535,144,
1.539,146,
1.543,143,
1.547,144,
1.551,144,
1.555,142,
1.56,145,
1.564,145,
1.568,142,
1.572,144,
1.576,143,
1.58,145,
1.584,145,
1.588,144,
1.592,143,
1.596,144,
1.6,139,
1.605,143,
